file,class,method,variable,usage
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,head,4
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,rc,1
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,e,4
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,response,14
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Monitor.java,org.wltea.analyzer.dic.Monitor,Monitor/1[java.lang.String],location,2
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],input,2
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],segmenter,1
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,loadSegmenters/0,segmenters,4
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,available,1
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,segmenter,3
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,l,2
